
ANNUAL REVISION FOR 2003

PART B:      NOT SEASONALLY ADJUSTED

EXHIBIT 13.  EXPORTS, IMPORTS AND BALANCE OF GOODS BY SELECTED
             COUNTRIES AND GEOGRAPHIC AREAS, -- ANNUAL 2003

(In millions of dollars. Details may not equal totals due to rounding.
(-) Represents zero or less then half unit of measure.  (X) Not applicable.
 
                                   January - December, Cumulative
 
                                            Trade
              Country                      Balance                 Rank
 (1)  Detailed data are presented on a Census basis.  The information needed to 
convert to a BOP basis is not available.
 (2)  Countries included in Euro Area are also included in European Union.  See 
Page 27 of the FT-900 release for a list of countries.
 (3)  Selected countries are included in more than one area grouping. Indonesia 
is included in both OPEC and Pacific Rim; Venezuela is included in both OPEC and 
Other South/Central America.
 (4)  The export totals reflect shipments of certain grains, oilseeds, and 
satellites that are not included in the country/area totals.
NOTE:  For information on data sources, nonsampling errors and definitions, see 
the information section on page 26 of the FT-900 release, or at www.census.gov/
foreign-trade/www/press.html or www.bea.gov/bea/rels.htm.


SOURCE: Report FT900 (03) (CB-04-91), Bureau of the Census, Foreign Trade
        Division, FINAL 2003. For more information, contact Haydn R. 
        Mearkle (301-763-2246) or Nick Orsini (301-763-2311), 
        Foreign Trade Division.

